City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Vaini,TO,78.96,scattered clouds,-21.2,-175.2,Keleti Beach Resort
6,Rikitea,PF,76.8,scattered clouds,-23.1203,-134.9692,Pension Maro'i
23,Samana,DO,80.56,few clouds,19.2056,-69.3369,The Bannister - Hotel & Yacht Club
27,Tual,ID,81.0,broken clouds,-5.6667,132.75,Grand Vilia Hotel
35,Ahuimanu,US,83.91,broken clouds,21.4447,-157.8378,Paradise Bay Resort
36,Waingapu,ID,79.72,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
40,Kavieng,PG,84.43,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
46,Nishihara,JP,82.0,broken clouds,26.1842,127.7558,Minshuku Agaihama
47,Tutoia,BR,79.48,few clouds,-2.7619,-42.2744,Pousada Guará's
50,Atuona,PF,79.09,few clouds,-9.8,-139.0333,Villa Enata
51,Avarua,CK,80.65,few clouds,-21.2078,-159.775,Paradise Inn
55,Ayorou,NE,89.82,broken clouds,14.7308,0.9174,Hotel Amenokal
77,Sao Miguel Do Araguaia,BR,77.54,overcast clouds,-13.275,-50.1628,Hotel Executivo Palace
81,Meulaboh,ID,76.37,moderate rain,4.1363,96.1285,Kost Pria
85,Bocas Del Toro,PA,82.08,overcast clouds,9.3333,-82.25,Hotel Bocas del Toro
93,Galesong,ID,80.62,clear sky,-5.3166,119.3661,Sapriadi Appy
96,Butaritari,KI,82.72,light rain,3.0707,172.7902,Isles Sunset Lodge
100,Pacific Grove,US,79.07,broken clouds,36.6177,-121.9166,Lovers Point Inn
101,Santa Cruz,BO,76.46,overcast clouds,-17.8,-63.1667,Aviador Hotel Boutique
106,Saquarema,BR,80.62,scattered clouds,-22.92,-42.5103,Hotel Fazenda Sol e Lua
107,Manamadurai,IN,83.1,broken clouds,9.7,78.4833,MRS Lodge
108,Prado,BR,75.87,scattered clouds,-17.3411,-39.2208,INN CORNER RIVER - PRADO - BAHIA - HOUSING AND HOTEL
113,Black River,JM,82.4,scattered clouds,18.0264,-77.8487,Idlers' Rest Beach Hotel
115,Rurrenabaque,BO,78.8,few clouds,-14.4413,-67.5278,Casa de Campo
119,Hami,CN,78.01,clear sky,42.8,93.45,Laoyutang Resort
121,Trinidad,BO,76.46,broken clouds,-14.8333,-64.9,Hotel Piesta
127,Victoria,HK,90.0,overcast clouds,22.2855,114.1577,Mini Hotel Central
131,Mayumba,GA,76.21,overcast clouds,-3.432,10.6554,LIKWALE LODGE
135,Bitung,ID,85.05,clear sky,1.4451,125.1824,K2 Lembeh
139,Kapaa,US,82.72,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
145,Georgetown,MY,80.89,few clouds,5.4112,100.3354,Cititel Penang
147,Labuhan,ID,79.65,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
149,Samarai,PG,78.3,broken clouds,-10.6167,150.6667,Nuli Sapi
154,Hithadhoo,MV,81.88,broken clouds,-0.6,73.0833,Scoop Guest House
155,Mooresville,US,78.01,broken clouds,35.5849,-80.8101,Fairfield Inn by Marriott Charlotte Mooresville/Lake Norman
156,Isabela,PH,84.25,overcast clouds,6.7085,121.9711,Isawad Resort
157,Port Blair,IN,78.84,broken clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
158,Hilo,US,82.13,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
159,Funadhoo,MV,83.88,scattered clouds,6.15,73.2667,Dhaffalhu Tourist Lodge
160,Bilma,NE,86.45,broken clouds,18.6853,12.9164,Expeditions Ténére voyages
168,Vila Velha,BR,75.94,scattered clouds,-20.3297,-40.2925,Quality Suites Vila Velha
170,Ormara,PK,83.52,clear sky,25.2088,64.6357,Crystal Beach and Camping Resort Ormara
173,Cayenne,GF,80.1,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
177,Bathsheba,BB,79.41,scattered clouds,13.2167,-59.5167,Atlantis Hotel
184,Bengkulu,ID,75.31,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
185,Xixiang,CN,82.17,broken clouds,35.1628,112.865,Sanmao Hotel Hotel
186,Kalmunai,LK,80.49,overcast clouds,7.4167,81.8167,VS Villa
195,Port Hedland,AU,75.25,overcast clouds,-20.3167,118.5667,The Esplanade Hotel
197,Batticaloa,LK,79.9,overcast clouds,7.7102,81.6924,Grand Star Guest House
198,Jacmel,HT,84.04,few clouds,18.2342,-72.5347,Hotel Florita
205,Wanning,CN,85.59,overcast clouds,18.8003,110.3967,Paradise Hotel
214,Salalah,OM,82.4,few clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
215,Kahului,US,87.82,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
222,Buchanan,LR,78.76,broken clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
228,San Patricio,US,83.12,broken clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
229,Cravo Norte,CO,76.3,broken clouds,6.3017,-70.2041,Hotel Potosí Los Mirtos
230,Sorong,ID,80.33,few clouds,-0.8833,131.25,waigo splash hotel
237,Kieta,PG,78.73,moderate rain,-6.2167,155.6333,Uruna Bay Retreat
244,Banjar,ID,80.6,broken clouds,-8.19,114.9675,The Hamsa Resort
249,Tabou,CI,79.93,broken clouds,4.423,-7.3528,hotêl doufoulougou
254,Lorengau,PG,83.05,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
273,Hoa Binh,VN,84.09,broken clouds,20.8133,105.3383,Hoa Dao Hotel
275,Hirara,JP,79.07,broken clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
276,Dentsville,US,84.2,clear sky,34.064,-80.9582,Columbia Northeast Hotel
287,Bacon,PH,85.53,few clouds,13.0378,124.0411,Siama Hotel
289,Fairhope,US,80.64,broken clouds,30.523,-87.9033,Hampton Inn Fairhope-Mobile Bay
296,Lahaina,US,87.8,few clouds,20.8783,-156.6825,Lahaina Shores Beach Resort
299,Kinkala,CG,75.2,overcast clouds,-4.3614,14.7644,Hotel la Pepeche Kinkala
302,Tabas,IR,80.46,clear sky,33.5959,56.9244,شرکت معماری مهراز شایگان آراد
305,Nizwa,OM,84.54,broken clouds,22.9333,57.5333,Orient Apartments
310,Riyadh,SA,89.65,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
311,Half Moon Bay,US,80.62,few clouds,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
315,Kudahuvadhoo,MV,83.32,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
316,Oistins,BB,78.89,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
321,Tarauaca,BR,77.16,overcast clouds,-8.1614,-70.7656,Flat Temporada
322,Port Keats,AU,81.75,clear sky,-14.25,129.55,TDC Village (Hundred Man Camp)
324,Caucasia,CO,76.19,overcast clouds,7.9865,-75.1935,Hotel San Rafael
326,Tiarei,PF,87.82,scattered clouds,-17.5333,-149.3333,Le Rocher de Tahiti
330,Annamalainagar,IN,83.46,overcast clouds,11.4,79.7333,Hotel Akshaya
331,Faanui,PF,80.19,scattered clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
335,Catuday,PH,85.55,few clouds,16.2923,119.8062,GResort
342,Alofi,NU,80.49,broken clouds,-19.0595,-169.9187,Taloa Heights
346,Pangkalanbuun,ID,80.13,overcast clouds,-2.6833,111.6167,Grand Kecubung Hotel
349,Port-Gentil,GA,78.17,broken clouds,-0.7193,8.7815,Fengshui Residence
353,Sibu,MY,78.8,few clouds,2.3,111.8167,RH HOTEL (4 Star)
354,Isla Del Bosque,MX,86.04,broken clouds,22.7333,-105.85,ALBERGUE COMUNITARIO ISLA DEL BOSQUE
357,Jamkhed,IN,79.93,overcast clouds,18.7362,75.3121,Beleshwar coffee center
365,Kununurra,AU,75.18,overcast clouds,-15.7667,128.7333,Hotel Kununurra
368,Jaten,ID,80.46,overcast clouds,-7.5772,110.8975,Loh Agung 6 B10
370,Tura,IN,77.56,few clouds,25.5198,90.2201,Hotel RIKMAN Continental
372,Kolondieba,ML,81.52,overcast clouds,11.0882,-6.8926,Hotel Dakan
373,Diban,SY,77.47,clear sky,35.0365,40.5167,مساكن الشرطة بمدينة ذيبان
374,Tuy Hoa,VN,86.22,scattered clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
376,Cockburn Town,TC,78.76,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
377,Pala,TD,82.45,broken clouds,9.3642,14.9046,Nectar Hôtel de Pala
