City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Vaini,TO,-21.2,-175.2,78.96,73,40,6.91,scattered clouds
1,Mikuni,JP,36.2171,136.1519,71.51,84,15,15.01,few clouds
2,Ushuaia,AR,-54.8,-68.3,29.86,100,90,25.32,snow
3,Katangli,RU,51.7102,143.2326,44.94,69,84,12.1,broken clouds
4,Launceston,AU,-41.45,147.1667,46.15,78,1,1.99,clear sky
5,Nome,US,64.5011,-165.4064,57.27,28,1,26.46,clear sky
6,Rikitea,PF,-23.1203,-134.9692,76.8,75,46,21.39,scattered clouds
7,Chuy,UY,-33.6971,-53.4616,55.74,90,84,7.25,broken clouds
8,Garden City,US,42.3256,-83.331,46.87,82,90,1.01,overcast clouds
9,Jamestown,US,42.097,-79.2353,44.1,97,90,8.01,overcast clouds
10,Vila Franca Do Campo,PT,37.7167,-25.4333,59.41,74,100,4.9,overcast clouds
11,Mahebourg,MU,-20.4081,57.7,73.26,94,75,3.44,broken clouds
12,Qaanaaq,GL,77.484,-69.3632,39.52,80,100,2.19,overcast clouds
13,Sitka,US,57.0531,-135.33,48.09,76,90,11.5,light rain
14,Busselton,AU,-33.65,115.3333,61.09,85,61,8.16,broken clouds
15,Kruisfontein,ZA,-34.0033,24.7314,57.88,75,9,18.79,clear sky
16,Broome,US,42.2506,-75.833,47.01,88,90,1.01,moderate rain
17,Grindavik,IS,63.8424,-22.4338,49.95,93,90,49.48,moderate rain
18,Tiksi,RU,71.6872,128.8694,33.26,96,100,14.14,overcast clouds
19,Mar Del Plata,AR,-38.0023,-57.5575,54.12,46,40,1.99,scattered clouds
20,Paramonga,PE,-10.6667,-77.8333,66.2,88,21,9.6,few clouds
21,Coquimbo,CL,-29.9533,-71.3436,55.13,94,0,2.98,clear sky
22,Albany,US,42.6001,-73.9662,47.26,91,100,5.7,moderate rain
23,Samana,DO,19.2056,-69.3369,80.56,82,23,8.14,few clouds
24,Mataura,NZ,-46.1927,168.8643,49.48,96,100,5.7,overcast clouds
25,Hobart,AU,-42.8794,147.3294,48.25,76,75,1.99,broken clouds
26,Arraial Do Cabo,BR,-22.9661,-42.0278,73.65,88,38,25.77,scattered clouds
